SymInit: Symbol-SearchPath: '.;E:\Clownfish\ClownfishVoiceChanger;E:\Clownfish\ClownfishVoiceChanger;C:\WINDOWS;C:\WINDOWS\system32;SRV*C:\websymbols*http://msdl.microsoft.com/download/symbols;', symOptions: 530, UserName: 'shaik'
OS-Version: 6.2.9200 () 0x100-0x1
E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe:ClownfishVoiceChanger.exe (00007FF7B8940000), size: 843776 (result: 0), SymType: '-nosymbols-', PDB: 'E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe', fileVersion: 1.6.6.0
C:\WINDOWS\SYSTEM32\ntdll.dll:ntdll.dll (00007FFA8D860000), size: 2134016 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\ntdll.dll', fileVersion: 6.2.22000.527
C:\WINDOWS\System32\KERNEL32.DLL:KERNEL32.DLL (00007FFA8BBD0000), size: 774144 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\KERNEL32.DLL', fileVersion: 6.2.22000.434
C:\WINDOWS\System32\KERNELBASE.dll:KERNELBASE.dll (00007FFA8AE10000), size: 3620864 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\KERNELBASE.dll', fileVersion: 6.2.22000.527
C:\Program Files\Bitdefender\Bitdefender Security\atcuf\dlls_265654098020000000\atcuf64.dll:atcuf64.dll (00007FFA4B040000), size: 1122304 (result: 0), SymType: '-exported-', PDB: 'C:\Program Files\Bitdefender\Bitdefender Security\atcuf\dlls_265654098020000000\atcuf64.dll', fileVersion: 1.46.325.0
C:\WINDOWS\System32\SHLWAPI.dll:SHLWAPI.dll (00007FFA8BEC0000), size: 380928 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\SHLWAPI.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\System32\msvcrt.dll:msvcrt.dll (00007FFA8BF20000), size: 667648 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\msvcrt.dll', fileVersion: 7.0.22000.1
C:\WINDOWS\System32\WS2_32.dll:WS2_32.dll (00007FFA8D710000), size: 454656 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\WS2_32.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\System32\RPCRT4.dll:RPCRT4.dll (00007FFA8D520000), size: 1179648 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\RPCRT4.dll', fileVersion: 6.2.22000.434
C:\WINDOWS\System32\USER32.dll:USER32.dll (00007FFA8D260000), size: 1753088 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\USER32.dll', fileVersion: 6.2.22000.282
C:\WINDOWS\System32\win32u.dll:win32u.dll (00007FFA8B190000), size: 155648 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\win32u.dll', fileVersion: 6.2.22000.556
C:\WINDOWS\System32\GDI32.dll:GDI32.dll (00007FFA8BE90000), size: 167936 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\GDI32.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\System32\gdi32full.dll:gdi32full.dll (00007FFA8B1C0000), size: 1122304 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\gdi32full.dll', fileVersion: 6.2.22000.527
C:\WINDOWS\System32\msvcp_win.dll:msvcp_win.dll (00007FFA8B400000), size: 643072 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\msvcp_win.dll', fileVersion: 6.2.22000.1
